OrderYear,OrderMonth,CategoryName,ProductName,Quantity,Sales
1996,8,Grains/Cereals,Wimmers gute Semmelknodel,9,239.40 
1996,8,Condiments,Chef Anton's Gumbo Mix,20,340.00 
1996,8,Meat/Poultry,Thuringer Rostbratwurst,15,1485.00 
1996,8,Confections,Maxilaku,15,240.00 
1996,8,Condiments,Original Frankfurter grune Soe,10,104.00 
1996,8,Seafood,Konbu,20,96.00 
1996,8,Condiments,Gula Malacca,24,372.00 
1996,8,Produce,Manjimup Dried Apples,2,84.80 
1996,8,Confections,Sir Rodney's Marmalade,20,1296.00 
1996,8,Seafood,Carnarvon Tigers,12,600.00 
1996,8,Beverages,Guarana Fantastica,10,36.00 
1996,8,Condiments,Vegie-spread,5,175.50 
1996,8,Beverages,Rhonbrau Klosterbier,6,37.20 
1996,8,Beverages,Chai,18,259.20 
1996,8,Meat/Poultry,Alice Mutton,15,468.00 
1996,8,Beverages,Ipoh Coffee,15,552.00 
1996,8,Dairy Products,Camembert Pierrot,21,571.20 
1996,8,Beverages,Rhonbrau Klosterbier,6,37.20 
1996,9,Grains/Cereals,Gnocchi di nonna Alice,4,121.60 
1996,9,Dairy Products,Queso Cabrales,12,201.60 
1996,9,Confections,Pavlova,30,417.00 
1996,9,Dairy Products,Gudbrandsdalsost,15,432.00 
1996,9,Beverages,Chartreuse verte,60,864.00 
1996,9,Dairy Products,Mozzarella di Giovanni,20,556.00 
1996,9,Beverages,Chang,40,608.00 
1996,9,Seafood,Inlagd Sill,40,608.00 
1996,9,Dairy Products,Raclette Courdavault,30,1320.00 
1996,9,Confections,Tarte au sucre,15,591.00 
1996,9,Confections,Teatime Chocolate Biscuits,15,109.50 
1996,9,Beverages,Outback Lager,20,240.00 
1996,9,Condiments,Louisiana Hot Spiced Okra,30,408.00 
1996,9,Confections,Scottish Longbreads,20,200.00 
1996,9,Seafood,Boston Crab Meat,10,147.00 
1996,9,Grains/Cereals,Gnocchi di nonna Alice,20,608.00 
1996,9,Meat/Poultry,Alice Mutton,40,1248.00 
1996,9,Produce,Rossle Sauerkraut,28,1019.20 
1996,9,Beverages,Ipoh Coffee,12,441.60 
1996,9,Seafood,Boston Crab Meat,40,588.00 
1996,9,Condiments,Louisiana Fiery Hot Pepper Sauce,30,504.00 
1996,9,Confections,Scottish Longbreads,15,150.00 
1996,9,Confections,Maxilaku,30,480.00 
1996,9,Dairy Products,Raclette Courdavault,10,440.00 
1996,9,Dairy Products,Flotemysost,2,34.40 
1996,9,Seafood,Carnarvon Tigers,25,1250.00 
1996,9,Meat/Poultry,Thuringer Rostbratwurst,25,2475.00 
1996,9,Beverages,Chartreuse verte,30,432.00 
1996,9,Seafood,Nord-Ost Matjeshering,10,207.00 
1996,9,Meat/Poultry,Perth Pasties,10,262.00 
1996,9,Meat/Poultry,Tourtière,5,29.50 
1996,9,Confections,Tarte au sucre,10,394.00 
1996,9,Confections,Scottish Longbreads,3,30.00 
1996,9,Dairy Products,Gudbrandsdalsost,1,28.80 
1996,9,Beverages,Outback Lager,5,60.00 
1996,9,Condiments,Chef Anton's Cajun Seasoning,20,352.00 
1996,9,Condiments,Grandma's Boysenberry Spread,30,600.00 
1996,9,Grains/Cereals,Singaporean Hokkien Fried Mee,2,22.40 
1996,9,Beverages,Ipoh Coffee,20,736.00 
1996,9,Dairy Products,Flotemysost,3,51.60 
1996,9,Confections,Pavlova,10,139.00 
1996,9,Confections,Tarte au sucre,5,197.00 
1996,9,Grains/Cereals,Singaporean Hokkien Fried Mee,6,67.20 
1996,9,Dairy Products,Gudbrandsdalsost,7,201.60 
1996,9,Produce,Rossle Sauerkraut,4,145.60 
1996,9,Beverages,Ipoh Coffee,24,883.20 
1996,9,Meat/Poultry,Perth Pasties,20,524.00 
1996,9,Beverages,Rhonbrau Klosterbier,10,62.00 
1996,9,Seafood,Inlagd Sill,12,182.40 
1996,9,Dairy Products,Mascarpone Fabioli,40,1024.00 
1996,9,Seafood,Escargots de Bourgogne,30,318.00 
1996,9,Confections,Tarte au sucre,25,985.00 
1996,9,Beverages,Sasquatch Ale,14,156.80 
1996,9,Beverages,Outback Lager,30,360.00 
1996,9,Seafood,Jack's New England Clam Chowder,10,77.00 
1996,9,Confections,Tarte au sucre,70,2758.00 
1996,9,Beverages,Chai,20,288.00 
1996,10,Seafood,Jack's New England Clam Chowder,20,154.00 
1996,10,Beverages,Lakkalikoori,6,86.40 
1996,10,Meat/Poultry,Alice Mutton,8,249.60 
1996,10,Produce,Rossle Sauerkraut,14,509.60 
1996,10,Beverages,Lakkalikoori,30,432.00 
1996,10,Dairy Products,Flotemysost,30,516.00 
1996,10,Beverages,Steeleye Stout,10,144.00 
1996,10,Grains/Cereals,Filo Mix,20,112.00 
1996,10,Condiments,Genen Shouyu,5,62.00 
1996,10,Confections,NuNuCa NuNougat-Creme,4,44.80 
1996,10,Beverages,Chartreuse verte,4,57.60 
1996,10,Confections,Pavlova,21,291.90 
1996,10,Beverages,Steeleye Stout,70,1008.00 
1996,10,Seafood,Spegesild,30,288.00 
1996,10,Dairy Products,Raclette Courdavault,40,1760.00 
1996,10,Condiments,Vegie-spread,80,2808.00 
1996,10,Condiments,Grandma's Boysenberry Spread,6,120.00 
1996,10,Seafood,Konbu,12,57.60 
1996,10,Produce,Tofu,9,167.40 
1996,10,Dairy Products,Gorgonzola Telino,4,40.00 
1996,10,Dairy Products,Mozzarella di Giovanni,40,1112.00 
1996,10,Condiments,Chef Anton's Cajun Seasoning,24,422.40 
1996,10,Grains/Cereals,Ravioli Angelo,16,249.60 
1996,10,Beverages,Rhonbrau Klosterbier,50,310.00 
1996,10,Beverages,Chang,25,380.00 
1996,10,Dairy Products,Queso Cabrales,50,840.00 
1996,10,Seafood,Nord-Ost Matjeshering,35,724.50 
1996,10,Seafood,Escargots de Bourgogne,30,318.00 
1996,10,Dairy Products,Raclette Courdavault,9,396.00 
1996,10,Condiments,Louisiana Fiery Hot Pepper Sauce,40,672.00 
1996,10,Confections,Scottish Longbreads,10,100.00 
1996,10,Confections,Teatime Chocolate Biscuits,10,73.00 
1996,10,Seafood,Nord-Ost Matjeshering,8,165.60 
1996,10,Beverages,Cte de Blaye,20,4216.00 
1996,10,Grains/Cereals,Gnocchi di nonna Alice,12,364.80 
1996,10,Confections,Gumbar Gummibarchen,50,1245.00 
1996,10,Dairy Products,Mozzarella di Giovanni,25,695.00 
1996,10,Meat/Poultry,Tourtière,15,88.50 
1996,10,Seafood,Carnarvon Tigers,40,2000.00 
1996,10,Grains/Cereals,Singaporean Hokkien Fried Mee,10,112.00 
1996,10,Confections,Zaanse koeken,16,121.60 
1996,10,Produce,Tofu,10,186.00 
1996,10,Confections,Sir Rodney's Scones,10,80.00 
1996,10,Dairy Products,Flotemysost,40,688.00 
1996,10,Grains/Cereals,Filo Mix,8,44.80 
1996,10,Confections,Scottish Longbreads,10,100.00 
1996,10,Beverages,Chang,7,106.40 
1996,10,Dairy Products,Gorgonzola Telino,25,250.00 
1996,10,Dairy Products,Mascarpone Fabioli,6,153.60 
1996,10,Produce,Manjimup Dried Apples,48,2035.20 
1996,10,Condiments,Chef Anton's Cajun Seasoning,18,316.80 
1996,10,Grains/Cereals,Tunnbrod,40,288.00 
1996,10,Confections,Gumbar Gummibarchen,24,597.60 
1996,10,Seafood,Inlagd Sill,20,304.00 
1996,10,Seafood,Gravad lax,28,582.40 
1996,10,Dairy Products,Mozzarella di Giovanni,25,695.00 
1996,10,Meat/Poultry,Alice Mutton,20,624.00 
1996,10,Seafood,Nord-Ost Matjeshering,15,310.50 
1996,10,Condiments,Chef Anton's Cajun Seasoning,10,176.00 
1996,10,Meat/Poultry,Alice Mutton,70,2184.00 
1996,10,Confections,Tarte au sucre,28,1103.20 
1996,10,Seafood,Carnarvon Tigers,20,1000.00 
1996,10,Seafood,Jack's New England Clam Chowder,12,92.40 
1996,10,Beverages,Ipoh Coffee,40,1472.00 
1996,10,Dairy Products,Geitost,8,16.00 
1996,10,Dairy Products,Raclette Courdavault,9,396.00 
1996,10,Beverages,Chang,24,364.80 
1996,10,Dairy Products,Gorgonzola Telino,56,560.00 
1996,10,Seafood,Inlagd Sill,40,608.00 
1996,10,Meat/Poultry,Pate chinois,40,768.00 
1996,10,Grains/Cereals,Wimmers gute Semmelknodel,50,1330.00 
1996,10,Confections,Scottish Longbreads,4,40.00 
1996,10,Beverages,Lakkalikoori,15,216.00 
1996,11,Condiments,Chef Anton's Cajun Seasoning,35,616.00 
1996,11,Condiments,Northwoods Cranberry Sauce,70,2240.00 
1996,11,Condiments,Northwoods Cranberry Sauce,70,2240.00 
1996,11,Confections,Teatime Chocolate Biscuits,80,584.00 
1996,11,Grains/Cereals,Singaporean Hokkien Fried Mee,9,100.80 
1996,11,Meat/Poultry,Alice Mutton,36,1123.20 
1996,11,Grains/Cereals,Gnocchi di nonna Alice,20,608.00 
1996,11,Confections,NuNuCa Nu-Nougat-Creme,10,112.00 
1996,11,Beverages,Chartreuse verte,50,720.00 
1996,11,Seafood,Boston Crab Meat,4,58.80 
1996,11,Beverages,Rhonbrau Klosterbier,6,37.20 
1996,11,Beverages,Chai,15,216.00 
1996,11,Grains/Cereals,Tunnbrod,25,180.00 
1996,11,Meat/Poultry,Tourtière,24,141.60 
1996,11,Confections,Valkoinen suklaa,15,195.00 
1996,11,Dairy Products,Gudbrandsdalsost,18,518.40 
1996,11,Beverages,Cte de Blaye,20,4216.00 
1996,11,Seafood,Jack's New England Clam Chowder,13,100.10 
1996,11,Condiments,Gula Malacca,77,1193.50 
1996,11,Condiments,Louisiana Fiery Hot Pepper Sauce,10,168.00 
1996,11,Beverages,Guarana Fantastica,10,36.00 
1996,11,Meat/Poultry,Tourtière,20,118.00 
1996,11,Dairy Products,Queso Cabrales,12,201.60 
1996,11,Beverages,Cte de Blaye,50,10540.00 
1996,11,Beverages,Chai,12,172.80 
1996,11,Meat/Poultry,Thuringer Rostbratwurst,4,396.00 
1996,11,Beverages,Guarana Fantastica,25,90.00 
1996,11,Grains/Cereals,Ravioli Angelo,25,390.00 
1996,11,Dairy Products,Gorgonzola Telino,30,300.00 
1996,11,Meat/Poultry,Pate chinois,12,230.40 
1996,11,Dairy Products,Gudbrandsdalsost,20,576.00 
1996,11,Seafood,Ikura,30,744.00 
1996,11,Confections,Gumbar Gummibarchen,16,398.40 
1996,11,Dairy Products,Camembert Pierrot,8,217.60 
1996,11,Beverages,Guarana Fantastica,10,36.00 
1996,11,Beverages,Sasquatch Ale,10,112.00 
1996,11,Seafood,Inlagd Sill,20,304.00 
1996,11,Confections,Pavlova,56,778.40 
1996,11,Dairy Products,Gorgonzola Telino,70,700.00 
1996,11,Dairy Products,Camembert Pierrot,80,2176.00 
1996,11,Produce,Rossle Sauerkraut,30,1092.00 
1996,11,Meat/Poultry,Thuringer Rostbratwurst,35,3465.00 
1996,11,Beverages,Cte de Blaye,10,2108.00 
1996,11,Confections,Maxilaku,35,560.00 
1996,11,Meat/Poultry,Tourtière,28,165.20 
1996,11,Beverages,Chartreuse verte,54,777.60 
1996,11,Dairy Products,Camembert Pierrot,55,1496.00 
1996,11,Confections,NuNuCa Nu-Nougat-Creme,50,560.00 
1996,11,Produce,Manjimup Dried Apples,20,848.00 
1996,11,Meat/Poultry,Tourtière,24,141.60 
1996,11,Dairy Products,Gorgonzola Telino,20,200.00 
1996,11,Beverages,Rhonbrau Klosterbier,12,74.40 
1996,11,Beverages,Lakkalikoori,12,172.80 
1996,11,Dairy Products,Gudbrandsdalsost,30,864.00 
1996,11,Dairy Products,Flotemysost,5,86.00 
1996,11,Dairy Products,Queso Cabrales,24,403.20 
1996,11,Condiments,Louisiana Fiery Hot Pepper Sauce,5,84.00 
1996,11,Condiments,Original Frankfurter grune Soe,5,52.00 
1996,11,Beverages,Sasquatch Ale,36,403.20 
1996,11,Meat/Poultry,Tourtière,18,106.20 
1996,11,Condiments,Louisiana Fiery Hot Pepper Sauce,15,252.00 
1996,11,Condiments,Original Frankfurter grune Soe,7,72.80 
1996,11,Confections,Sir Rodney's Scones,5,40.00 
1996,11,Produce,Rossle Sauerkraut,13,473.20 
1996,11,Grains/Cereals,Ravioli Angelo,25,390.00 
1996,11,Grains/Cereals,Wimmers gute Semmelknodel,35,931.00 
1996,12,Meat/Poultry,Thuringer Rostbratwurst,20,1980.00 
1996,12,Grains/Cereals,Gnocchi di nonna Alice,18,547.20 
1996,12,Beverages,Chai,15,216.00 
1996,12,Grains/Cereals,Wimmers gute Semmelknodel,30,798.00 
1996,12,Produce,Longlife Tofu,20,160.00 
1996,12,Seafood,Inlagd Sill,6,91.20 
1996,12,Confections,Sir Rodney's Marmalade,12,777.60 
1996,12,Beverages,Cte de Blaye,40,8432.00 
1996,12,Dairy Products,Camembert Pierrot,70,1904.00 
1996,12,Dairy Products,Mozzarella di Giovanni,42,1167.60 
1996,12,Seafood,Escargots de Bourgogne,80,848.00 
1996,12,Dairy Products,Flotemysost,50,860.00 
1996,12,Dairy Products,Gorgonzola Telino,30,300.00 
1996,12,Seafood,Escargots de Bourgogne,15,159.00 
1996,12,Produce,Tofu,15,279.00 
1996,12,Meat/Poultry,Tourtière,10,59.00 
1996,12,Dairy Products,Gorgonzola Telino,42,420.00 
1996,12,Produce,Rossle Sauerkraut,20,728.00 
1996,12,Beverages,Chartreuse verte,20,288.00 
1996,12,Dairy Products,Flotemysost,6,103.20 
1996,12,Seafood,Jack's New England Clam Chowder,8,61.60 
1996,12,Condiments,Vegie-spread,16,561.60 
1996,12,Condiments,Louisiana Fiery Hot Pepper Sauce,20,336.00 
1996,12,Seafood,Nord-Ost Matjeshering,18,372.60 
1996,12,Meat/Poultry,Perth Pasties,20,524.00 
1996,12,Dairy Products,Camembert Pierrot,6,163.20 
1996,12,Beverages,Outback Lager,30,360.00 
1996,12,Produce,Longlife Tofu,14,112.00 
1996,12,Condiments,Chef Anton's Gumbo Mix,32,544.00 
1996,12,Seafood,Carnarvon Tigers,9,450.00 
1996,12,Meat/Poultry,Thuringer Rostbratwurst,14,1386.00 
1996,12,Dairy Products,Geitost,60,120.00 
1996,12,Produce,Longlife Tofu,50,400.00 
1996,12,Seafood,Konbu,20,96.00 
1996,12,Confections,Valkoinen suklaa,15,195.00 
1996,12,Grains/Cereals,Gnocchi di nonna Alice,20,608.00 
1996,12,Confections,Sir Rodney's Marmalade,28,1814.40 
1996,12,Dairy Products,Camembert Pierrot,15,408.00 
1996,12,Produce,Uncle Bob's Organic Dried Pears,10,240.00 
1996,12,Dairy Products,Camembert Pierrot,20,544.00 
1996,12,Confections,Scottish Longbreads,8,80.00 
1996,12,Beverages,Guarana Fantastica,15,54.00 
1996,12,Beverages,Sasquatch Ale,10,112.00 
1996,12,Beverages,Guarana Fantastica,15,54.00 
1996,12,Produce,Rossle Sauerkraut,6,218.40 
1996,12,Dairy Products,Raclette Courdavault,12,528.00 
1996,12,Dairy Products,Flotemysost,15,258.00 
1996,12,Seafood,Rogede sild,15,114.00 
1996,12,Grains/Cereals,Filo Mix,20,112.00 
1996,12,Meat/Poultry,Perth Pasties,40,1048.00 
1996,12,Seafood,Ikura,16,396.80 
1996,12,Meat/Poultry,Pate chinois,15,288.00 
1996,12,Confections,Tarte au sucre,20,788.00 
1996,12,Beverages,Outback Lager,30,360.00 
1996,12,Dairy Products,Gorgonzola Telino,60,600.00 
1996,12,Beverages,Steeleye Stout,40,576.00 
1996,12,Seafood,Spegesild,45,432.00 
1996,12,Dairy Products,Mozzarella di Giovanni,24,667.20 
1996,12,Seafood,Konbu,18,86.40 
1996,12,Dairy Products,Gudbrandsdalsost,50,1440.00 
1996,12,Beverages,Chang,25,380.00 
1996,12,Produce,Tofu,42,781.20 
1996,12,Confections,NuNuCa Nu-Nougat-Creme,7,78.40 
1996,12,Confections,Gumbar Gummibarchen,70,1743.00 
1996,12,Dairy Products,Gorgonzola Telino,32,320.00 
1996,12,Seafood,Konbu,10,48.00 
1996,12,Confections,Tarte au sucre,10,394.00 
1996,12,Seafood,Spegesild,28,268.80 
1996,12,Meat/Poultry,Perth Pasties,70,1834.00 
1996,12,Dairy Products,Gudbrandsdalsost,8,230.40 
1996,12,Grains/Cereals,Tunnbrod,40,288.00 
1996,12,Dairy Products,Flotemysost,60,1032.00 
1996,12,Dairy Products,Mozzarella di Giovanni,21,583.80 
1996,12,Confections,Sir Rodney's Scones,10,80.00 
1996,12,Produce,Manjimup Dried Apples,18,763.20 
1996,12,Beverages,Steeleye Stout,30,432.00 
1996,12,Meat/Poultry,Pate chinois,120,2304.00 
1996,12,Confections,Scottish Longbreads,60,600.00 
1996,12,Dairy Products,Flotemysost,30,516.00 
1996,12,Beverages,Lakkalikoori,35,504.00 
1996,12,Condiments,Original Frankfurter grune Soe,14,145.60 
1997,1,Meat/Poultry,Thuringer Rostbratwurst,21,2079.00 
1997,1,Beverages,Steeleye Stout,35,504.00 
1997,1,Confections,Maxilaku,30,480.00 
1997,1,Seafood,Nord-Ost Matjeshering,18,372.60 
1997,1,Grains/Cereals,Gnocchi di nonna Alice,70,2128.00 
1997,1,Condiments,Louisiana Fiery Hot Pepper Sauce,20,336.00 
1997,1,Dairy Products,Flotemysost,60,1032.00 
1997,1,Grains/Cereals,Tunnbrod,60,432.00 
1997,1,Condiments,Vegie-spread,65,2281.50 
1997,1,Confections,Pavlova,21,291.90 
1997,1,Confections,Chocolade,70,714.00 
1997,1,Confections,Gumbar Gummibarchen,30,747.00 
1997,1,Grains/Cereals,Singaporean Hokkien Fried Mee,40,448.00 
1997,1,Confections,Maxilaku,30,480.00 
1997,1,Condiments,Aniseed Syrup,50,400.00 
1997,1,Beverages,Chai,10,144.00 
1997,1,Confections,Sir Rodney's Scones,30,240.00 
1997,1,Produce,Rossle Sauerkraut,42,1528.80 
1997,1,Seafood,Inlagd Sill,5,76.00 
1997,1,Seafood,Boston Crab Meat,2,29.40 
1997,1,Dairy Products,Queso Cabrales,30,504.00 
1997,1,Dairy Products,Gudbrandsdalsost,15,432.00 
1997,1,Dairy Products,Flotemysost,15,258.00 
1997,1,Seafood,Gravad lax,10,208.00 
1997,1,Meat/Poultry,Tourtière,6,35.40 
1997,1,Confections,Tarte au sucre,35,1379.00 
1997,1,Produce,Tofu,12,223.20 
1997,1,Confections,Sir Rodney's Scones,12,96.00 
1997,1,Dairy Products,Geitost,49,98.00 
1997,1,Dairy Products,Raclette Courdavault,16,704.00 
1997,1,Seafood,Jack's New England Clam Chowder,25,192.50 
1997,1,Condiments,Gula Malacca,40,620.00 
1997,1,Dairy Products,Raclette Courdavault,9,396.00 
1997,1,Produce,Tofu,20,372.00 
1997,1,Beverages,Chai,24,345.60 
1997,1,Confections,Tarte au sucre,40,1576.00 
1997,1,Beverages,Lakkalikoori,14,201.60 
1997,1,Confections,Teatime Chocolate Biscuits,18,131.40 
1997,1,Dairy Products,Geitost,50,100.00 
1997,1,Meat/Poultry,Alice Mutton,2,62.40 
1997,1,Dairy Products,Geitost,20,40.00 
1997,1,Confections,Teatime Chocolate Biscuits,20,146.00 
1997,1,Meat/Poultry,Perth Pasties,10,262.00 
1997,1,Grains/Cereals,Ravioli Angelo,20,312.00 
1997,1,Beverages,Cte de Blaye,50,10540.00 
1997,1,Seafood,Spegesild,2,19.20 
1997,1,Confections,Scottish Longbreads,36,360.00 
1997,1,Condiments,Original Frankfurter grune Soe,35,364.00 
1997,1,Beverages,Chang,60,912.00 
1997,1,Confections,Zaanse koeken,55,418.00 
1997,1,Condiments,Sirop d'erable,16,364.80 
1997,1,Produce,Longlife Tofu,15,120.00 
1997,1,Dairy Products,Camembert Pierrot,60,1632.00 
1997,1,Dairy Products,Gudbrandsdalsost,20,576.00 
1997,1,Meat/Poultry,Mishi Kobe Niku,20,1552.00 
1997,1,Seafood,Konbu,2,9.60 
1997,1,Beverages,Outback Lager,8,96.00 
1997,1,Seafood,Rod Kaviar,20,240.00 
1997,1,Confections,Teatime Chocolate Biscuits,4,29.20 
1997,1,Confections,Gumbar Gummibarchen,30,747.00 
1997,1,Meat/Poultry,Perth Pasties,15,393.00 
1997,1,Condiments,Original Frankfurter grune Soe,10,104.00 
1997,1,Confections,Gumbar Gummibarchen,2,49.80 
1997,1,Dairy Products,Gorgonzola Telino,14,140.00 
1997,1,Dairy Products,Raclette Courdavault,20,880.00 
1997,1,Beverages,Steeleye Stout,60,864.00 
1997,1,Beverages,Cte de Blaye,49,10329.20 
1997,1,Confections,Scottish Longbreads,30,300.00 
1997,1,Meat/Poultry,Pate chinois,10,192.00 
1997,1,Beverages,Lakkalikoori,20,288.00 
1997,1,Grains/Cereals,Gnocchi di nonna Alice,5,152.00 
1997,1,Grains/Cereals,Wimmers gute Semmelknodel,7,186.20 
1997,1,Produce,Tofu,35,651.00 
1997,1,Seafood,Spegesild,20,192.00 
1997,1,Confections,Valkoinen suklaa,40,520.00 
1997,1,Condiments,Vegie-spread,35,1228.50 
1997,1,Meat/Poultry,Alice Mutton,45,1404.00 
1997,1,Confections,Sir Rodney's Scones,50,400.00 
1997,1,Grains/Cereals,Gnocchi di nonna Alice,30,912.00 
1997,1,Dairy Products,Raclette Courdavault,70,3080.00 
1997,1,Meat/Poultry,Alice Mutton,50,1560.00 
1997,1,Seafood,Boston Crab Meat,50,735.00 
1997,1,Confections,Zaanse koeken,30,228.00 
1997,1,Confections,Gumbar Gummibarchen,10,249.00 
1997,1,Meat/Poultry,Tourtière,40,236.00 
1997,2,Grains/Cereals,Gnocchi di nonna Alice,28,851.20 
1997,2,Dairy Products,Queso Cabrales,6,100.80 
1997,2,Beverages,Lakkalikoori,18,259.20 
